"gene","rho","p","padj"
"ACAT1",-0.162221421130763,0.520146924316266,0.680567031492394
"ACAT2",0.318081217903456,0.198323160050998,0.373248855414886
"ACBD3",-0.130413299340417,0.606003334319509,0.747105204937924
"ACBD3-AS1",-0.0604354314016566,0.811714193149572,0.886315018500158
"ACBD4",-0.464398578139046,0.0521898885443222,0.153428213483375
"ACBD5",-0.0540738070435875,0.831248354510442,0.8995210446184
"ACBD6",-0.168583045488832,0.503686118682587,0.667709055178301
"ACBD7",-0.32126203008249,0.193623689674478,0.368072489939146
"ACCS",-0.493025887750357,0.0376212761921747,0.123223040240276
"ACD",0.32126203008249,0.193623689674478,0.368072489939146
"ACE",0.149498172414624,0.553800044977954,0.707740467379986
"ACE2",0.359431776230905,0.142935587138887,0.301197636278108
"ACER2",0.343527715335732,0.162792364365824,0.329254364852093
"ACER3",0.610715938374635,0.00709928010412565,0.0436095493137262
"ACHE",-0.050892994864553,0.841051573716376,0.905435238352898
"ACIN1",-0.050892994864553,0.841051573716376,0.905435238352898
"ACKR1",0.731586801177949,0.000559434634036119,0.0104454137083825
"ACKR2",0.168583045488832,0.503686118682588,0.667709055178301
"ACKR3",0.0540738070435875,0.831248354510442,0.8995210446184
"ACKR4",-0.0667970557597257,0.792285273328889,0.874052780952406
"ACLY",0.0445313705064838,0.860723558575886,0.918435529408666
"ACMSD",0.346708527514767,0.158678762915013,0.324108074767388
"ACO1",-0.617077562732705,0.00636991665848191,0.0407185936238033
"ACO2",0.572546192226221,0.013018892491538,0.0631023268674427
"ACOD1",0.617077562732705,0.00636991665848191,0.0407185936238033
"ACOT11",0.0763394922968294,0.763362171846459,0.85585822150534
"ACOT13",-0.18130629420497,0.471527767978293,0.640932554924703
"ACOT2",-0.028627309611311,0.910222171117746,0.948239751554786
"ACOT4",0.254464974322765,0.308203920349177,0.493210841465889
"ACOT7",0.664789745418223,0.00261276204300535,0.024658952189792
"ACOT8",0.0954243653710368,0.706435274967492,0.820471215798653
"ACOT9",0.461217765960011,0.0540390782118582,0.157117431358202
"ACOX1",-0.661608933239188,0.00278574998437507,0.0257522780606868
"ACOX2",-0.257645786501799,0.301986618416377,0.486836801347833
"ACOX3",-0.483483451213253,0.0420786529648235,0.132968543368842
"ACOXL",0.763394922968294,0.000227708398609119,0.00645955627470705
"ACP1",0.136774923698486,0.588382304195425,0.734098830295796
"ACP2",-0.0858819288339331,0.734734237068355,0.838072088519813
"ACP5",0.645704872344016,0.00379797966284092,0.0305641796811983
"ACP6",-0.814287917832847,3.90048514998536e-05,0.00263070476323332
"ACPP",-0.283092283934076,0.254989720732858,0.43708429913657
"ACRBP",0.162221421130763,0.520146924316265,0.680567031492394
"ACSBG1",-0.0540738070435875,0.831248354510442,0.8995210446184
"ACSF2",-0.448494517243873,0.0619321304782058,0.172358205649452
"ACSF3",0.18130629420497,0.471527767978293,0.640932554924703
"ACSL1",0.295815532650214,0.233322285074124,0.413084606315607
"ACSL3",-0.305357969187318,0.217869918264878,0.395980074177294
"ACSL4",0.050892994864553,0.841051573716376,0.905435238352898
"ACSL5",-0.340346903156698,0.166977936286666,0.334478785597363
"ACSL6",0.486664263392288,0.0405503248241128,0.129772819712287
"ACSM1",-0.311719593545387,0.207946288007384,0.38478601576133
"ACSM3",-0.524834009540702,0.0253314041671608,0.0948803198395605
"ACSM6",-0.496206699929391,0.0362190339100176,0.120078117940435
"ACSS1",0.54391888261491,0.0196275832033862,0.0806956971469926
"ACSS2",-0.333985278798629,0.175566555832454,0.346123407794962
"ACSS3",-0.61389675055367,0.00672660031979805,0.0423299770680024
"ACTA2",0.435771268527735,0.0706551434074344,0.188867732357241
"ACTB",0.50256832428746,0.0335353188992631,0.114138660908597
"ACTG1",0.346708527514767,0.158678762915013,0.324108074767388
"ACTG2",-0.225837664711454,0.367544688108924,0.550041027963158
"ACTL10",0.203571979458212,0.417816571568208,0.594623182202397
"ACTL6A",-0.289453908292145,0.244003604450244,0.424863669884431
"ACTN1",-0.168583045488832,0.503686118682587,0.667709055178301
"ACTN2",0.0827011166548985,0.744241978106311,0.844254816010872
"ACTN4",0.79520304475864,7.99792076974622e-05,0.00386806758398289
