"sample","celltype","receptivity_score","group","day","pred_day","timing_state"
"endometrium, LH5_2, rep2","Stroma",-0.308474987460677,"LH5",5,5.57974994555041,"Delayed"
"endometrium, LH7_3, rep3","Stroma",0.0739685786743716,"Fertile_LH7",7,7.35942795492133,"In-phase"
"endometrium, LH9_1, rep1","Stroma",0.0943017041400849,"LH9",9,7.45404692477042,"In-phase"
"endometrium, RIF_3, rep3","Stroma",-0.0451150005431581,"RIF",NA,6.80527971979118,"In-phase"
"endometrium, LH9_2, rep2","Stroma",0.0628227758685415,"LH9",9,7.30756163553,"In-phase"
"endometrium, LH5_3, rep3","Stroma",-0.538276909702939,"LH5",5,4.5103805960833,"Delayed"
"endometrium, LH9_3, rep3","Stroma",0.146239633782514,"LH9",9,7.69573693977317,"In-phase"
"endometrium, LH11_1, rep1","Stroma",1.25601846170648,"LH11",11,12.8600256092923,"Advanced"
"endometrium, LH3_1, rep1","Stroma",-0.278646189607784,"LH3",3,5.7185564526679,"Delayed"
"endometrium, LH3_2, rep2","Stroma",-0.311972811838987,"LH3",3,5.56347303131277,"Delayed"
"endometrium, LH3_3, rep3","Stroma",-0.412455295506312,"LH3",3,5.09588386955245,"Delayed"
"endometrium, LH11_2, rep2","Stroma",0.17335039649239,"LH11",11,7.82189523470707,"In-phase"
"endometrium, RIF_4, rep4","Stroma",0.219058342249853,"RIF",NA,8.03459439641646,"In-phase"
"endometrium, LH11_3, rep3","Stroma",0.0128836054089395,"LH11",11,7.07517272552335,"In-phase"
"endometrium, RIF_5, rep5","Stroma",-0.0334239195287457,"RIF",NA,6.85968345835421,"In-phase"
"endometrium, RIF_8, rep8","Stroma",-0.0128021279375075,"RIF",NA,6.95564571856333,"In-phase"
"endometrium, RIF_9, rep9","Stroma",-0.0986454667482726,"RIF",NA,6.55617893219165,"In-phase"
"endometrium, RIF_10, rep10","Stroma",0.137516167425444,"RIF",NA,7.65514281657204,"In-phase"
